Date,Open,High,Low,Close,Volume
2-Dec-13,4.39,4.39,4.24,4.29,18957955
29-Nov-13,4.39,4.45,4.34,4.35,7462179
27-Nov-13,4.46,4.55,4.33,4.41,24871199
26-Nov-13,4.46,4.52,4.41,4.46,29364364
25-Nov-13,4.43,4.52,4.37,4.50,25065587
22-Nov-13,4.40,4.55,4.26,4.38,31267898
21-Nov-13,4.33,4.49,4.31,4.37,55377430
20-Nov-13,4.01,4.28,3.97,4.27,55790691
19-Nov-13,3.85,4.01,3.82,3.99,17265372
18-Nov-13,4.05,4.09,3.81,3.84,25592226
15-Nov-13,3.96,4.12,3.91,4.02,44038972
14-Nov-13,3.83,3.98,3.76,3.91,29269851
13-Nov-13,3.49,3.84,3.48,3.81,39272956
12-Nov-13,3.41,3.54,3.40,3.51,11476542
11-Nov-13,3.47,3.52,3.41,3.43,11148929
8-Nov-13,3.47,3.55,3.42,3.46,17273997
7-Nov-13,3.68,3.74,3.41,3.46,33771308
6-Nov-13,3.80,3.84,3.68,3.70,16585684
5-Nov-13,3.70,3.84,3.65,3.80,17615487
4-Nov-13,3.61,3.74,3.56,3.74,20037921
1-Nov-13,3.57,3.59,3.51,3.58,12625080
31-Oct-13,3.57,3.59,3.48,3.58,19331450
30-Oct-13,3.70,3.75,3.53,3.59,20194639
29-Oct-13,3.78,3.80,3.62,3.69,22480369
28-Oct-13,3.66,3.79,3.60,3.78,24453685
25-Oct-13,3.87,4.05,3.67,3.73,90203042
24-Oct-13,3.55,3.61,3.45,3.54,44931240
23-Oct-13,3.68,3.69,3.54,3.54,13421851
22-Oct-13,3.69,3.76,3.57,3.64,14311379
21-Oct-13,3.70,3.79,3.66,3.69,21248086
18-Oct-13,3.56,3.76,3.55,3.67,16453429
17-Oct-13,3.55,3.65,3.50,3.58,32042809
16-Oct-13,3.54,3.62,3.53,3.59,10035570
15-Oct-13,3.56,3.66,3.50,3.52,12728290
14-Oct-13,3.54,3.58,3.50,3.55,19703285
11-Oct-13,3.54,3.69,3.52,3.61,13994607
10-Oct-13,3.54,3.60,3.51,3.53,17174148
9-Oct-13,3.56,3.57,3.32,3.48,26814295
8-Oct-13,3.71,3.75,3.50,3.54,20537554
7-Oct-13,3.70,3.77,3.65,3.70,13013286
4-Oct-13,3.70,3.79,3.69,3.76,12658605
3-Oct-13,3.82,3.87,3.66,3.67,21988662
2-Oct-13,3.82,3.95,3.79,3.82,35728884
1-Oct-13,3.67,3.86,3.64,3.84,30999250
30-Sep-13,3.63,3.85,3.56,3.67,31423788
27-Sep-13,3.52,3.80,3.51,3.78,33258732
26-Sep-13,3.81,3.87,3.48,3.61,53286908
25-Sep-13,3.64,3.90,3.60,3.78,53979268
24-Sep-13,3.57,3.69,3.52,3.61,37484090
23-Sep-13,3.46,3.56,3.41,3.52,23472101
20-Sep-13,3.47,3.54,3.43,3.48,33477590
19-Sep-13,3.25,3.50,3.25,3.47,45147236
18-Sep-13,3.28,3.40,3.21,3.27,28338629
17-Sep-13,3.10,3.30,3.08,3.27,31154677
16-Sep-13,3.10,3.11,3.07,3.09,21223145
13-Sep-13,3.05,3.11,2.98,3.08,14304112
12-Sep-13,3.08,3.12,3.02,3.02,14747965
11-Sep-13,3.01,3.04,2.97,3.00,16811729
10-Sep-13,3.12,3.13,3.00,3.03,13509764
9-Sep-13,3.03,3.12,3.02,3.10,22629520
6-Sep-13,3.02,3.05,2.98,3.02,28141141
5-Sep-13,2.93,3.01,2.90,3.00,14844208
4-Sep-13,2.84,2.96,2.84,2.92,15079478
3-Sep-13,2.86,2.89,2.84,2.87,7844877
30-Aug-13,2.88,2.89,2.81,2.83,7102476
29-Aug-13,2.88,2.91,2.87,2.91,7587001
28-Aug-13,2.79,2.90,2.79,2.88,8492000
27-Aug-13,2.82,2.89,2.79,2.80,8923455
26-Aug-13,2.86,2.92,2.85,2.90,9510551
23-Aug-13,2.83,2.91,2.79,2.89,11956180
22-Aug-13,2.77,2.85,2.76,2.81,12712742
21-Aug-13,2.75,2.80,2.72,2.75,13762598
20-Aug-13,2.79,2.85,2.74,2.75,23261644
19-Aug-13,2.88,2.90,2.83,2.83,9492108
16-Aug-13,2.87,2.91,2.83,2.90,14206287
15-Aug-13,2.94,2.96,2.87,2.88,22030233
14-Aug-13,2.91,3.02,2.90,2.97,23088697
13-Aug-13,2.97,2.97,2.88,2.91,12173543
12-Aug-13,2.97,3.00,2.93,2.94,13901127
9-Aug-13,2.91,3.04,2.90,3.00,25113736
8-Aug-13,2.88,2.92,2.82,2.87,20035668
7-Aug-13,2.90,2.92,2.85,2.85,21283375
6-Aug-13,2.92,2.94,2.89,2.92,14046816
5-Aug-13,3.00,3.02,2.91,2.94,17147431
2-Aug-13,3.02,3.04,2.96,3.00,12048832
1-Aug-13,3.00,3.05,2.98,3.03,22725826
31-Jul-13,2.97,3.02,2.92,2.98,19731114
30-Jul-13,3.02,3.05,2.93,2.97,22536777
29-Jul-13,3.00,3.11,2.99,3.02,20957240
26-Jul-13,2.94,3.02,2.85,3.01,80412944
25-Jul-13,3.43,3.62,3.38,3.50,90537018
24-Jul-13,3.26,3.40,3.23,3.28,20143970
23-Jul-13,3.33,3.34,3.22,3.27,17986273
22-Jul-13,3.41,3.42,3.29,3.30,14631805
19-Jul-13,3.42,3.46,3.31,3.36,13734045
18-Jul-13,3.47,3.52,3.40,3.42,13207108
17-Jul-13,3.44,3.51,3.43,3.46,13741950
16-Jul-13,3.60,3.60,3.45,3.46,17968857
15-Jul-13,3.50,3.60,3.45,3.55,16689162
12-Jul-13,3.56,3.64,3.45,3.50,29994176
11-Jul-13,3.43,3.54,3.41,3.54,28672177
10-Jul-13,3.39,3.44,3.36,3.39,19541372
9-Jul-13,3.30,3.34,3.15,3.34,21659528
8-Jul-13,3.45,3.46,3.28,3.29,26459700
5-Jul-13,3.48,3.50,3.39,3.43,36667210
3-Jul-13,3.39,3.48,3.32,3.42,49076427
2-Jul-13,3.44,3.48,3.21,3.27,98832907
1-Jul-13,2.77,3.14,2.76,3.07,55372814
28-Jun-13,2.80,2.84,2.71,2.78,37180570
27-Jun-13,2.79,2.86,2.78,2.86,9309807
26-Jun-13,2.73,2.83,2.73,2.80,11034003
25-Jun-13,2.59,2.78,2.57,2.75,14529063
24-Jun-13,2.64,2.65,2.50,2.58,19203672
21-Jun-13,2.80,2.82,2.65,2.71,28299910
20-Jun-13,2.85,2.90,2.85,2.86,7727931
19-Jun-13,2.88,2.90,2.86,2.89,7029509
18-Jun-13,2.86,2.91,2.86,2.89,8365485
17-Jun-13,2.82,2.90,2.82,2.87,9052127
14-Jun-13,2.78,2.84,2.78,2.82,5340746
13-Jun-13,2.80,2.81,2.76,2.80,7254651
12-Jun-13,2.89,2.90,2.80,2.82,10161991
11-Jun-13,2.86,2.90,2.81,2.88,11654273
10-Jun-13,2.81,2.93,2.80,2.86,14297898
7-Jun-13,2.78,2.85,2.76,2.84,17713566
6-Jun-13,2.85,2.92,2.73,2.85,34758281
5-Jun-13,3.02,3.05,2.85,2.87,36728460
4-Jun-13,3.04,3.10,2.95,3.05,38329999
3-Jun-13,3.37,3.44,2.87,2.99,65058170
31-May-13,3.39,3.44,3.38,3.40,18356329
30-May-13,3.43,3.53,3.40,3.43,17358147
29-May-13,3.38,3.44,3.35,3.42,14264284
28-May-13,3.42,3.47,3.36,3.40,18411348
24-May-13,3.34,3.43,3.33,3.39,14327594
23-May-13,3.30,3.40,3.25,3.39,19915463
22-May-13,3.44,3.52,3.35,3.40,25034714
21-May-13,3.40,3.59,3.38,3.45,25328620
20-May-13,3.39,3.50,3.38,3.40,11684580
17-May-13,3.40,3.46,3.35,3.38,13724071
16-May-13,3.50,3.55,3.36,3.37,23988266
15-May-13,3.34,3.63,3.31,3.48,55942981
14-May-13,3.47,3.49,3.30,3.34,23028807
13-May-13,3.20,3.50,3.19,3.47,39661940
10-May-13,3.21,3.24,3.18,3.23,9223062
9-May-13,3.23,3.29,3.19,3.21,10878919
8-May-13,3.13,3.27,3.12,3.26,16085502
7-May-13,3.20,3.22,3.10,3.13,19565967
6-May-13,3.17,3.23,3.17,3.21,12741289
3-May-13,3.20,3.23,3.17,3.22,12542193
2-May-13,3.21,3.23,3.19,3.20,10797976
1-May-13,3.18,3.22,3.16,3.18,11271345
30-Apr-13,3.27,3.27,3.18,3.19,24690452
29-Apr-13,3.38,3.41,3.22,3.27,22237948
26-Apr-13,3.16,3.42,3.15,3.35,52450487
25-Apr-13,3.02,3.16,3.01,3.13,59639004
24-Apr-13,3.20,3.35,3.14,3.35,51929356
23-Apr-13,3.26,3.26,3.14,3.18,23645925
22-Apr-13,3.25,3.29,3.16,3.23,13230503
19-Apr-13,3.21,3.22,3.09,3.19,13104461
18-Apr-13,3.22,3.26,3.05,3.18,28183118
17-Apr-13,3.27,3.34,3.17,3.22,15534704
16-Apr-13,3.28,3.33,3.25,3.30,13189660
15-Apr-13,3.39,3.40,3.21,3.22,23498289
12-Apr-13,3.40,3.49,3.37,3.42,11738138
11-Apr-13,3.48,3.50,3.40,3.41,12880568
10-Apr-13,3.41,3.53,3.41,3.45,15379169
9-Apr-13,3.44,3.49,3.37,3.39,15635521
8-Apr-13,3.54,3.57,3.43,3.47,23932263
5-Apr-13,3.38,3.62,3.31,3.55,42590169
4-Apr-13,3.50,3.50,3.35,3.45,31553986
3-Apr-13,3.40,3.63,3.30,3.53,97838483
2-Apr-13,3.20,3.24,3.05,3.07,26052268
1-Apr-13,3.37,3.38,3.13,3.16,25553023
28-Mar-13,3.39,3.40,3.33,3.36,9379661
27-Mar-13,3.33,3.37,3.31,3.35,11832750
26-Mar-13,3.41,3.45,3.31,3.36,18495911
25-Mar-13,3.46,3.52,3.38,3.41,16147601
22-Mar-13,3.40,3.44,3.40,3.42,11178845
21-Mar-13,3.36,3.45,3.35,3.35,18238946
20-Mar-13,3.37,3.41,3.27,3.34,31746286
19-Mar-13,3.56,3.62,3.41,3.47,24103374
18-Mar-13,3.51,3.61,3.45,3.51,24600127
