Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FLWS,"1-800 FLOWERS.COM, Inc.",4.82,310256160.4,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",6.62,61423027.86,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),10,59888670,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,32.05,779536990.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
FUBC,"1st United Bancorp, Inc. (FL)",7.58,259909414.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc
VNET,"21Vianet Group, Inc.",19.07,1126083500,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
JOBS,"51job, Inc.",71.6,2112414299,n/a,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,8.99,657745501.7,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",18.83,414296511.4,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",33.85,985750115.1,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",28.27,1038879784,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ASTM,"Aastrom Biosciences, Inc.",3.38,14805420.76,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm
ABAX,"ABAXIS, Inc.",35.49,790397790,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABGB,"Abengoa, S.A.",10.43,0,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb
ABMD,"ABIOMED, Inc.",27.27,1075905044,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,3.45,320379916.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,14.68,732924690,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",44.97,2271976768,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,21.13,1920008511,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",1.55,132658901.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",12.49,517954317.3,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,19.76,554821201,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ACCL,"Accelrys, Inc.",9.21,512678739.2,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/accl
ANCX,Access National Corporation,14.37,148625964.2,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,8.12,607968134.8,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",7.89,339579832.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,19.29,542731383.8,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/acet
ACHN,"Achillion Pharmaceuticals, Inc.",2.66,257156864.6,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",62.74,2418438717,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACNB,ACNB Corporation,18.07,108178964.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",33.09,1365776084,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACFN,"Acorn Energy, Inc.",3.69,81721370.97,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn
ACTS,"Actions Semiconductor Co., Ltd.",2.53,217580000,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACPW,"Active Power, Inc.",2.92,56499190.96,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
ATVI,"Activision Blizzard, Inc",17.2,11961439826,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
BIRT,Actuate Corporation,7.79,371095548.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/birt
ACUR,"Acura Pharmaceuticals, Inc.",1.64,79248673.68,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
ACXM,Acxiom Corporation,32.97,2476645076,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADUS,Addus HomeCare Corporation,25.94,283082519.6,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",2.61,26096032.8,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
ADEP,"Adept Technology, Inc.",9.15,100463889,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
ADBE,Adobe Systems Incorporated,55.94,27963696961,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",24.38,1406469644,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADES,"Advanced Emissions Solutions, Inc.",46.33,468707591.3,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",23.05,921637400.5,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
ADXS,"Advaxis, Inc.",3.42,17182357.02,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",1.2,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVS,"Advent Software, Inc.",33.92,1731064088,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
AEGR,"Aegerion Pharmaceuticals, Inc.",64.61,1889563126,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
AEGN,Aegion Corp,21.11,810077631,n/a,2000,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,2.81,30092065.2,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AEPI,AEP Industries Inc.,52.24,292610135.8,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AERI,"Aerie Pharmaceuticals, Inc.",11.84,262915689.3,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",27.22,617221039.9,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.05,33630879.45,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
ATRM,Aetrium Incorporated,3.0099,3245201.942,n/a,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/atrm
AFCE,"AFC Enterprises, Inc.",43.03,1025401242,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/afce
AFFX,"Affymetrix, Inc.",7.98,573898753.3,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx
AGEN,Agenus Inc.,2.59,91874642.65,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGYS,"Agilysys, Inc.",11.45,256774184.9,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",16.98,529286449.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AIRM,Air Methods Corporation,53.62,2093324210,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",11.4672,28052050.82,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",7.06,456548179.9,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AMCN,AirMedia Group Inc,1.72,105016736.2,n/a,1995,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,13.02,1316785512,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",45.22,8093340076,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKRX,"Akorn, Inc.",23.48,2262466939,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALSK,"Alaska Communications Systems Group, Inc.",2.015,97883972.81,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",11.27,356321719.2,n/a,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALCS,"ALCO Stores, Inc.",10.53,34308456.39,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/alcs
ADHD,Alcobra Ltd.,15.81,212296695.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALXN,"Alexion Pharmaceuticals, Inc.",119.06,23344616516,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALXA,"Alexza Pharmaceuticals, Inc.",4.77,82418702.58,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
ALCO,"Alico, Inc.",37.48,273966506.6,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",52.69,4231994569,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.95,61641432.45,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,37.08,5071149125,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALGT,Allegiant Travel Company,106.14,1971872104,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",15.03,73635036.12,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
AFOP,"Alliance Fiber Optic Products, Inc.",14.97,274475279.3,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
AIQ,"Alliance HealthCare Services, Inc.",24.06,255965774.6,n/a,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",54.24,3246969120,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",70.22,2595545652,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.31,18542709.57,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",10.34,94025642.26,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALLT,Allot Communications Ltd.,13.02,424638928.1,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",14.26,2544782802,n/a,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,22.84,214893588.8,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",53.56,3397314871,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,7.39,189967724.3,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
ATEC,"Alphatec Holdings, Inc.",1.77,172684152.4,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALTI,Altair Nanotechnologies Inc.,4.71,54589215.57,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alti
ALTR,Altera Corporation,31.35,10067380199,n/a,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
ASPS,Altisource Portfolio Solutions S.A.,149.99,3428340929,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
APSA,Alto Palermo S.A.,21.1,664724103.2,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/apsa
AIMC,"Altra Holdings, Inc.",29.5,795556177,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
ALVR,Alvarion Ltd.,0.6443,5761405.339,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alvr
AMAG,"AMAG Pharmaceuticals, Inc.",23.81,517542660.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
